context_uid,pdf_name,language,pages,paragraphs,table_rows,table_columns,questions
3ffd9053-a45d-491c-957a-1b2fa0af0570,3ffd9053-a45d-491c-957a-1b2fa0af0570.pdf,english,1,2,5,4,6
53474060-2736-46cb-bd97-1eb42f0ff3c1,53474060-2736-46cb-bd97-1eb42f0ff3c1.pdf,english,1,2,18,4,6
52164b70-6973-4844-af6a-76e8f1298d64,52164b70-6973-4844-af6a-76e8f1298d64.pdf,english,1,3,6,5,6
6bf238a5-0a3e-492d-91f8-7f62d3b37fba,6bf238a5-0a3e-492d-91f8-7f62d3b37fba.pdf,english,2,16,5,4,6
f8ac9ddd-9872-4681-902d-a0ee7c0ee83a,f8ac9ddd-9872-4681-902d-a0ee7c0ee83a.pdf,english,1,4,7,3,6
e9a946ce-72a9-4b42-86d6-4d91fceb14db,e9a946ce-72a9-4b42-86d6-4d91fceb14db.pdf,english,2,5,18,3,6
789efd09-04a2-45c7-84e5-47d3543695d1,789efd09-04a2-45c7-84e5-47d3543695d1.pdf,english,1,2,9,3,6
403df8e0-6045-4dba-90b3-5c9d8ca55bfb,403df8e0-6045-4dba-90b3-5c9d8ca55bfb.pdf,english,1,7,17,4,6
77d8e381-01d0-4cf9-882e-e1162db2cff2,77d8e381-01d0-4cf9-882e-e1162db2cff2.pdf,english,1,2,15,4,6
644a6917-7add-4751-9e3b-bcc2150a8f49,644a6917-7add-4751-9e3b-bcc2150a8f49.pdf,english,1,3,10,3,6
cc4f089d-e7bf-4b00-a096-48a3eed39f86,cc4f089d-e7bf-4b00-a096-48a3eed39f86.pdf,english,1,6,7,4,6
22f634eb-a76a-424d-b8d3-3994dab52826,22f634eb-a76a-424d-b8d3-3994dab52826.pdf,english,1,3,8,4,6
1c9e6c58-fd11-4711-986e-1d86b626d1dd,1c9e6c58-fd11-4711-986e-1d86b626d1dd.pdf,english,1,3,18,4,6
8749fc7b-19fb-4014-8eed-f96a05da50cf,8749fc7b-19fb-4014-8eed-f96a05da50cf.pdf,english,1,3,16,6,6
32edf644-acb0-4260-9392-f0baa4253f5a,32edf644-acb0-4260-9392-f0baa4253f5a.pdf,english,2,6,13,6,6
386352cf-f7e3-4148-920c-63bc57cf156b,386352cf-f7e3-4148-920c-63bc57cf156b.pdf,english,1,4,12,4,6
285a1ced-709e-4f45-a227-b6cd04e725f9,285a1ced-709e-4f45-a227-b6cd04e725f9.pdf,english,1,4,5,4,6
c3d2669c-a641-4c28-80d3-bda1c847027c,c3d2669c-a641-4c28-80d3-bda1c847027c.pdf,english,1,6,12,4,6
5127ef77-7d11-4b1c-93f8-1818f39070a8,5127ef77-7d11-4b1c-93f8-1818f39070a8.pdf,english,1,5,7,5,6
b3f4d2dd-a59b-45da-9608-e3401041a2b1,b3f4d2dd-a59b-45da-9608-e3401041a2b1.pdf,english,1,3,10,3,6
0f012382-d9ba-409c-94db-0b9bf50d0746,0f012382-d9ba-409c-94db-0b9bf50d0746.pdf,english,1,2,4,3,6
13bb283b-4b9c-42b9-9b02-f1b2e1a87abf,13bb283b-4b9c-42b9-9b02-f1b2e1a87abf.pdf,english,1,12,16,4,6
8692f92d-668a-452d-be7a-2b491ee27585,8692f92d-668a-452d-be7a-2b491ee27585.pdf,english,2,15,17,4,6
2061da6a-894b-4eaa-9a35-e784fee8ba4f,2061da6a-894b-4eaa-9a35-e784fee8ba4f.pdf,english,1,7,6,4,6
4232c6c1-97cf-48ad-8b8b-f956871a3212,4232c6c1-97cf-48ad-8b8b-f956871a3212.pdf,english,1,6,7,6,6
5edfd497-7fc1-467c-a68e-825584370718,5edfd497-7fc1-467c-a68e-825584370718.pdf,english,1,2,8,3,6
ba26cd64-e448-4ffb-bfaa-c6ad4760fba7,ba26cd64-e448-4ffb-bfaa-c6ad4760fba7.pdf,english,1,2,10,4,6
54719676-874d-439c-a095-b0776e1de331,54719676-874d-439c-a095-b0776e1de331.pdf,english,1,5,9,4,6
00a5764e-8bb7-48f1-a4cb-bea0edf188b1,00a5764e-8bb7-48f1-a4cb-bea0edf188b1.pdf,english,1,8,6,4,6
b05fde22-386f-442b-a606-0ef9db39ff51,b05fde22-386f-442b-a606-0ef9db39ff51.pdf,english,1,4,7,3,6
68bafc82-b795-4c7b-9506-e901223c3526,68bafc82-b795-4c7b-9506-e901223c3526.pdf,english,1,2,16,4,6
