parser,context_uid,pages,questions,word_error_rate,text_accuracy_from_wer,reading_order_accuracy,table_cell_f1,table_shape_match,table_exact_match,extractive_answer_retention,arithmetic_operand_retention,runtime_seconds,run_status
pymupdf4llm,3ffd9053-a45d-491c-957a-1b2fa0af0570,1,6,0.03636363636363636,0.9636363636363636,1.0,0.9142857142857143,1,0,1.0,1.0,0.324806,ok
pymupdf4llm,53474060-2736-46cb-bd97-1eb42f0ff3c1,1,6,0.11403508771929824,0.8859649122807017,0.9473684210526315,0.9655172413793104,0,0,0.75,1.0,0.716058,ok
pymupdf4llm,52164b70-6973-4844-af6a-76e8f1298d64,1,6,0.0440251572327044,0.9559748427672956,0.9811320754716981,0.8837209302325582,0,0,1.0,1.0,0.526674,ok
pymupdf4llm,6bf238a5-0a3e-492d-91f8-7f62d3b37fba,2,6,0.007308160779537149,0.9926918392204629,1.0,0.9142857142857143,1,0,1.0,0.6666666666666666,0.647614,ok
pymupdf4llm,f8ac9ddd-9872-4681-902d-a0ee7c0ee83a,1,6,0.02564102564102564,0.9743589743589743,1.0,0.9411764705882353,1,0,1.0,1.0,0.320561,ok
pymupdf4llm,e9a946ce-72a9-4b42-86d6-4d91fceb14db,2,6,0.010810810810810811,0.9891891891891892,0.9945945945945946,0.970873786407767,0,0,1.0,1.0,2.848897,ok
pymupdf4llm,789efd09-04a2-45c7-84e5-47d3543695d1,1,6,0.05714285714285714,0.9428571428571428,1.0,0.9387755102040816,0,0,1.0,1.0,0.202734,ok
pymupdf4llm,403df8e0-6045-4dba-90b3-5c9d8ca55bfb,1,6,0.02557544757033248,0.9744245524296675,0.9872122762148338,0.9705882352941176,0,0,1.0,0.6666666666666666,2.136746,ok
pymupdf4llm,77d8e381-01d0-4cf9-882e-e1162db2cff2,1,6,0.013157894736842105,0.9868421052631579,1.0,0.9908256880733944,1,0,1.0,0.8571428571428571,0.706814,ok
pymupdf4llm,644a6917-7add-4751-9e3b-bcc2150a8f49,1,6,0.05714285714285714,0.9428571428571428,1.0,0.9361702127659575,0,0,1.0,1.0,0.233647,ok
pymupdf4llm,cc4f089d-e7bf-4b00-a096-48a3eed39f86,1,6,0.018561484918793503,0.9814385150812065,0.9953596287703016,0.9411764705882353,1,0,1.0,0.75,1.033838,ok
pymupdf4llm,22f634eb-a76a-424d-b8d3-3994dab52826,1,6,0.049586776859504134,0.9504132231404958,1.0,0.9508196721311475,1,0,1.0,0.7777777777777778,0.320579,ok
pymupdf4llm,1c9e6c58-fd11-4711-986e-1d86b626d1dd,1,6,0.0392156862745098,0.9607843137254902,1.0,0.9807692307692307,1,0,1.0,1.0,0.526348,ok
